"GEOID","pct_male","pct_female"
"22047",50.4,49.6
"22049",50.7,49.3
"22051",48.5,51.5
"22053",49.5,50.5
"22055",48.8,51.2
"22057",49.1,50.9
"22059",52.1,47.9
"22061",48.6,51.4
"22063",49.1,50.9
"22065",49.8,50.2
"22067",48.1,51.9
"22069",47.9,52.1
"22071",47.5,52.5
"22073",48,52
"22075",50.3,49.7
"22077",48,52
"22079",48.4,51.6
"22081",47,53
"22083",48.7,51.3
"22085",49.4,50.6
"22087",48.9,51.1
"22089",50,50
"22091",48.3,51.7
"22093",47.5,52.5
"22095",49,51
"22097",48.3,51.7
"22099",49.2,50.8
"22101",49.5,50.5
"22103",48.5,51.5
"22105",48.4,51.6
"22107",49.3,50.7
"22109",49.4,50.6
"22111",49.9,50.1
"22113",48.3,51.7
"22115",52.9,47.1
"22117",49.4,50.6
"22119",48.9,51.1
"22121",48.8,51.2
"22123",50.7,49.3
"22125",64,36
"22127",53.3,46.7
"23001",48.9,51.1
"23003",49.5,50.5
"23005",48.5,51.5
"23007",49,51
"23009",48.3,51.7
"23011",48.8,51.2
"23013",49.8,50.2
"23015",49,51
"23017",49.4,50.6
"23019",49.6,50.4
"23021",49.9,50.1
"23023",48.9,51.1
"23025",49.5,50.5
"23027",49.1,50.9
"23029",49.1,50.9
"23031",48.8,51.2
"24001",52.3,47.7
"24003",49.5,50.5
"24005",47.4,52.6
"24009",49.8,50.2
"24011",48.9,51.1
"24013",49.5,50.5
